Trial	datum	FixStart	FixEnd	FixDur
infant_4605609553565853524	08-Nov-2016 15:14:32	0.00	440.00	440
infant_4605609553565853524	08-Nov-2016 15:14:32	483.33	750.00	750
infant_4605609553565853524	08-Nov-2016 15:14:32	786.67	1210.00	1210
infant_4605609553565853524	08-Nov-2016 15:14:32	1253.33	2286.67	2287
infant_4605609553565853524	08-Nov-2016 15:14:32	2373.33	2770.00	2770
infant_4605609553565853524	08-Nov-2016 15:14:32	2816.67	3170.00	3170
infant_4605609553565853524	08-Nov-2016 15:14:32	3246.67	3616.67	3617
infant_4605609553565853524	08-Nov-2016 15:14:32	3656.67	4006.67	4007
infant_4605410513238776168	10-Nov-2016 13:33:00	0.00	393.33	393
infant_4605410513238776168	10-Nov-2016 13:33:00	573.33	676.67	677
infant_4605410513238776168	10-Nov-2016 13:33:00	823.33	1020.00	1020
infant_4605410513238776168	10-Nov-2016 13:33:00	1086.67	1420.00	1420
infant_4605410513238776168	10-Nov-2016 13:33:00	1863.33	2340.00	2340
infant_4605410513238776168	10-Nov-2016 13:33:00	2750.00	2993.33	2993
infant_4605410513238776168	10-Nov-2016 13:33:00	3076.67	3476.67	3477
infant_4604872544363843626	10-Nov-2016 12:52:34	0.00	50.00	50
infant_4604872544363843626	10-Nov-2016 12:52:34	103.33	340.00	340
infant_4604872544363843626	10-Nov-2016 12:52:34	400.00	520.00	520
infant_4595653501593606004	10-Nov-2016 12:08:44	0.00	326.67	327
infant_4595653501593606004	10-Nov-2016 12:08:44	430.00	793.33	793
infant_4595653501593606004	10-Nov-2016 12:08:44	830.00	1123.33	1123
infant_4595653501593606004	10-Nov-2016 12:08:44	1190.00	1526.67	1527
infant_4595653501593606004	10-Nov-2016 12:08:44	1550.00	1780.00	1780
infant_4595653501593606004	10-Nov-2016 12:08:44	1876.67	3076.67	3077
infant_4595653501593606004	10-Nov-2016 12:08:44	3206.67	3626.67	3627
infant_4591350692076781768	10-Nov-2016 12:07:42	0.00	56.67	57
infant_4591350692076781768	10-Nov-2016 12:07:42	80.00	470.00	470
infant_4591350692076781768	10-Nov-2016 12:07:42	603.33	773.33	773
infant_4591350692076781768	10-Nov-2016 12:07:42	853.33	943.33	943
infant_4591350692076781768	10-Nov-2016 12:07:42	1486.67	1673.33	1673
infant_4591350692076781768	10-Nov-2016 12:07:42	1736.67	1800.00	1800
infant_4591350692076781768	10-Nov-2016 12:07:42	2083.33	2510.00	2510
infant_4591350692076781768	10-Nov-2016 12:07:42	2580.00	2836.67	2837
infant_4585006770229471040	08-Nov-2016 15:06:06	3.33	73.33	73
infant_4585006770229471040	08-Nov-2016 15:06:06	100.00	546.67	547
infant_4585006770229471040	08-Nov-2016 15:06:06	600.00	1050.00	1050
